0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana 
1893,NitaLowey,The TrumpBudget puts New Yorkers at risk It s no surprise Trump s SOTU speech wrote checks his budget was never designed to cash,0.13636363636363635,"['trumpbudget', 'yorkers', 'trump', 'sotu']",D,New York
1894,NitaLowey,Grateful for the work of It was a pleasure to meet with NSBA amp an honor to receive an award for supporting public schools amp educational equity I m committed to using my role as Chairwoman to oppose Trump s attempts to cut public education,0.125,"['grateful', 'nsba', 'public schools amp', 'educational equity', 'chairwoman', 'trump', 's attempts', 'public education']",D,New York
1895,RepSeanMaloney,Destroying the ACA s pre existing condition protections will create a terrible situation for millions of families amp ppl w severe health issues That can t happen Folks need to lift their voices amp get involved We must ProtectOurCare S o to for leading the way,-0.6,"['destroying', 'aca', 's pre', 'condition protections', 'terrible situation', 'families amp ppl w', 'severe health issues', 'folks', 'voices amp', 'protectourcare', 's o']",D,New York
1896,RepSeanMaloney, TrumpBudget would devastate the lives of MILLIONS of Americans There is also a federal court case to OVERTURN protect,0.0,"['trumpbudget', 'millions', 'federal court case', 'overturn']",D,New York
1897,RepSeanMaloney, The best part of fighting to ProtectOurCare in DC is meeting people like Congressman who give me HOPE t,1.0,"['protectourcare', 'dc', 'hope']",D,New York
1898,RepSeanMaloney,More backward logic from the Trump Admin While our nation faces a looming climate crisis the TrumpBudget proposes to Slash EPA funding by 26 5 Cut DOE Energy Efficiency and Renewable Energy funding by 74 amp Eliminate the Advanced Research Projects Agency Energy,0.45,"['backward logic', 'trump admin', 'climate crisis', 'trumpbudget', 'slash epa', 'cut doe energy efficiency', 'energy', 'eliminate', 'advanced', 'projects', 'energy']",D,New York
1899,RepSeanMaloney,Trump isn t going to pull the wool over our eyes we all know the GOP has fought to destroy the ACA amp its pre existing condition protections for a decade Now he s trying to overturn it in court Thanks to for sounding the alarm amp fighting the good fight,0.2333333333333333,"['trump', 'isn t', 'aca', 'condition protections', 'thanks', 'alarm amp', 'good fight']",D,New York
1900,repdelgado,I sat down with advocates from NY19 to discuss our work to make sure everyone in our rural communities can get the care they need,0.11481481481481481,"['ny19', 'rural communities']",D,New York
1901,repdelgado,My office continues to work alongside state and local officials regarding the developing water situation in New Paltz The immediate focus is ensuring that folks have clean and safe drinking water,0.25075757575757573,"['local officials', 'water situation', 'paltz', 'immediate focus']",D,New York
1902,repdelgado,Great to join my friends from representing the 2nd District this evening I m proud to stand with our men and women in organized labor to combat attacks against unions amp ensure every employee has fair workplace conditions amp access to health care amp benefits,0.575,"['unions amp ensure', 'fair workplace conditions amp access', 'health care amp benefits']",D,New York
1903,repdelgado,Thanks to Vito Grasso with Neurofibromatosis New York for stopping by my office I ll keep working to ensure we fund needed research for those in upstate living with neurofibromatosis,0.16818181818181818,"['thanks', 'vito grasso', 'neurofibromatosis', 'york']",D,New York
1904,repdelgado,NY19 is home to nearly 5 000 farms 96 of which are family farms In an Agriculture Subcommittee hearing today I asked about growing local food sales by creating localized self sustaining marketplaces that serve our rural communities amp combat consolidation trends,0.03333333333333333,"['ny19', 'family farms', 'subcommittee', 'local food sales', 'rural communities amp', 'consolidation trends']",D,New York
1905,RepPaulTonko,Even as the TrumpBudget forces painful cuts to education Medicaid SNAP amp other programs that help millions of Americans it proposes we spend 2 BILLION on a wasteful border wall that can t even hold up to wind or rain or ladders,-0.4125,"['trumpbudget', 'painful cuts', 'medicaid snap', 'billion', 'wasteful border wall']",D,New York
1906,RepPaulTonko,In the face of a worsening global climate crisis TrumpBudget slashes support for clean energy research amp innovation at Dept including 74 cut to Energy Efficiency and Renewable Energy EERE amp completely eliminates the Advanced Research Projects Agency Energy ARPA E,0.21666666666666667,"['global climate crisis', 'trumpbudget', 'slashes support', 'clean energy research amp innovation', 'dept', 'energy efficiency', 'energy eere', 'advanced', 'projects', 'energy arpa e']",D,New York
1907,RepPaulTonko,The TrumpBudget slashes the EPA budget more than 25 These cuts would make our air less clean our water less safe and drive up unnecessary public health costs and hardship in every single state,0.07023809523809525,"['trumpbudget', 'epa', 'unnecessary public health costs']",D,New York
1908,RepPaulTonko,The TrumpBudget cuts 182 billion from basic food assistance a k a SNAP putting thousands of kids and families at risk of going hungry all across America,0.0,"['trumpbudget', 'basic food assistance', 'snap', 'america']",D,New York
1909,RepPaulTonko,The TrumpBudget cuts 170 BILLION from student loan programs over the next decade Instead of creating new opportunities for young Americans President Trump s budget puts college further out of reach,0.05909090909090909,"['trumpbudget', 'billion', 'student loan programs', 'new opportunities', 'trump', 's budget']",D,New York
1910,RepStefanik,Proud to cosponsor the Forest Recovery Act which supports timber farmers affected by catastrophic loss events North Country forest land is vital to our environment amp communities This bill will protect timber farmers the original stewards of the land,0.425,"['proud', 'forest recovery act', 'supports timber farmers', 'catastrophic loss events', 'north country forest land', 'environment amp communities', 'timber farmers', 'original stewards']",R,New York
1911,RepStefanik,I am proud to sign on to the House letter to FDA Commissioner Hahn urging him to enforce the formal dairy labeling rules Real milk comes from real cows It is time to take action to support our hardworking dairy farmers in NY21 and beyond,0.325,"['house letter', 'fda', 'hahn', 'formal dairy', 'real', 'real cows', 'dairy farmers', 'ny21']",R,New York
1912,RepStefanik,Watch my opening remarks from today s House Armed Services Subcommittee on Intelligence and Emerging Threats and Capabilities hearing on strategy amp policy for countering Weapons of Mass Destruction It s an honor to serve as Ranking Member of this Subcommittee,0.0,"['watch', 's house', 'subcommittee', 'intelligence', 'emerging threats', 'capabilities', 'strategy amp policy', 'weapons', 'mass destruction', 'ranking member', 'subcommittee']",R,New York
1913,RepStefanik,PASSED THE HOUSE the Smithsonian Women s History Museum Act which I am proud to cosponsor directing the to plan and construct a museum dedicated to Women s History The women s movement has deep ties to NY21 and I was proud to help lead this effort,0.5333333333333333,"['passed the house', 'smithsonian', 'history', 'museum act', 'history', 'women s movement', 'deep ties', 'ny21']",R,New York
1914,RepStefanik,PASSED THE HOUSE Protecting America s Food and Agriculture Act legislation that increases the number of U S Customs and Border Patrol agriculture specialists Proud to cosponsor this bill to provide adequate resources for our Northern Border,0.5666666666666667,"['passed the house protecting america', 'agriculture act legislation', 'customs', 'border patrol agriculture specialists', 'proud', 'adequate resources', 'northern border']",R,New York
1915,RepBrindisi,Had a productive meeting today with members of Congress and about ways we can work together to help hardwood producers like NY22 s recover from our trade dispute with China and keep jobs in Upstate New York,0.13636363636363635,"['productive meeting', 'congress', 'help hardwood producers', 'ny22', 'trade dispute', 'china', 'upstate', 'york']",D,New York
1916,RepBrindisi,Lack of access to health care is a crisis in our rural communities We heard from the New York State Association for Rural Health about ways we can work together to help close the urban rural health gap,0.02727272727272727,"['lack', 'health care', 'rural communities', 'york', 'state association', 'rural health', 'urban rural health gap']",D,New York
1917,RepBrindisi,Great to meet with UticaRome and discuss ways we can continue to work together this year Thanks for stopping by our office,0.5,"['uticarome', 'thanks']",D,New York
1918,RepBrindisi,SPECTRUM CUSTOMERS If you were affected by this weekend s outage you might be eligible for a credit on your next bill More info from,0.25,"['spectrum customers', 'weekend s outage']",D,New York
1919,RepBrindisi,Met with and gave an update about a bill I m co sponsoring the Public Service Freedom to Negotiate Act of 2019 This bill will strengthen the rights of public service employees to unionize and protect workplace rights I will keep fighting to support our local unions,0.0,"['met', 'm co', 'public service freedom', 'negotiate', 'public service employees', 'workplace rights', 'local unions']",D,New York
1920,RepTomReed, The is such an important group in Congress as we try and get common sense bipartisan solutions for the,0.03333333333333335,"['important group', 'congress', 'common sense', 'bipartisan solutions']",R,New York
1921,RepTomReed, is leading the charge on improving hospice care for patients and their families Today we re debating hi,0.0,['hospice care'],R,New York
1922,RepTomReed,Proud to co chair the Problem Solvers Caucus The Problem Solvers Caucus got House Speaker Nancy Pelosi to adopt a rule to break up gridlock and allow legislation with at least 290 co sponsors or two thirds of the House to get fast tracked for a vote,0.2333333333333333,"['proud', 'co chair', 'problem solvers caucus', 'problem solvers caucus', 'house speaker', 'nancy pelosi', 'co sponsors']",R,New York
1923,RepTomReed, said yesterday the difference is while other states withhold information from ICE New York is,0.005681818181818177,"['states withhold information', 'ice', 'york']",R,New York
1924,RepTomReed,Sixty one percent of Americans say they are better off than they were three years ago a higher percentage than in prior election years when an incumbent president was running,0.25,"['sixty', 'election years', 'incumbent president']",R,New York
1925,RepJohnKatko,I was grateful to meet with local mental health advocates and clinicians from at Provisions Bakery amp Restaurant in Syracuse We discussed the importance of ending the stigma associated with seeking mental healthcare and the need to improve access to care in CNY,-0.06666666666666667,"['local mental health advocates', 'provisions bakery', 'amp restaurant', 'syracuse', 'mental healthcare', 'cny']",R,New York
1926,RepJohnKatko, is introducing legislation aimed at combating sexualharassment in public housing an effort that was inspired,0.0,[],R,New York
1927,RepJohnKatko,Following an announcement by DHS that it has suspended its Global Entry and Trusted Traveler programs for NY residents in response to NY s new Green Light Law I ve urged Cuomo to prioritize the safety of NYS residents by working with DHS to make reforms,0.06727272727272728,"['following', 'dhs', 'global entry', 'trusted', 'traveler programs', 'ny', 'ny', 'cuomo', 'nys', 'dhs']",R,New York
1928,RepJohnKatko, After lawsuits against Oswego landlord introduces bill to combat sexual violence in housing,0.5,"['oswego', 'landlord introduces bill', 'sexual violence']",R,New York
1929,RepJohnKatko, The road to infrastructure legislation is through partnership not partisanship Read Ranking Member op e,0.0,"['infrastructure legislation', 'read ranking member', 'op e']",R,New York
1930,RepJoeMorelle,Thanks to Santii and Mr Snuggles the Bear for delivering a big bag of ValentinesForVets Grateful for the outpouring of support from across the community to help honor our brave veterans this Valentine s Day There s still time to participate bring in your cards today,0.3333333333333333,"['thanks', 'santii', 'mr snuggles', 'bear', 'big bag', 'valentinesforvets grateful', 'brave veterans', 'valentine', 's day']",D,New York
1931,RepJoeMorelle,These tragic statistics underscore exactly why we must do more to support our veterans when they return home and ensure these brave men and women receive the care they need and deserve If you re a veteran in crisis or are concerned about a loved one call 1 800 273 8255 now,0.25,"['tragic statistics underscore', 'return home', 'brave men']",D,New York
1932,RepJoeMorelle,Some of the world s greatest achievements and discoveries have been thanks to incredible WomeninScience On Women in Science Day we celebrate these outstanding accomplishments and recommit to expanding STEM opportunities for women and girls everywhere to change the world,0.65,"['world s', 'womeninscience', 'science day', 'outstanding accomplishments', 'stem', 'girls everywhere']",D,New York
1933,RepJoeMorelle,These cuts to benefits for individuals with disabilities are simply cruel which is why I have sent a letter to Social Security Administration Commissioner Saul expressing my strong opposition and urging him to withdraw this unnecessary and unjust proposal,-0.23333333333333336,"['social security administration commissioner', 'saul', 'strong opposition', 'unjust proposal']",D,New York
1934,RepJoeMorelle,The Trump Administration continues to gut critical safety net programs making it harder for individuals and families in need to access care,-0.03333333333333333,"['trump', 'critical safety net programs', 'access care']",D,New York
1935,RepBrianHiggins, HAPPENING SOON Ways and Means will mark up legislation on surprisebilling and hospice in 30 minutes Tune in here to w,0.0,"['happening soon ways', 'means', 'minutes tune']",D,New York
1936,RepBrianHiggins, Western New York will never forget Flight 3407 and neither should Congress I urge my colleagues to continue to strive f,0.06818181818181818,"['york', 'congress']",D,New York
1937,RepBrianHiggins,Our hearts are with you today and always Airline passengers are infinitely safer thanks to your tireless work,0.2,"['airline', 'safer thanks', 'tireless work']",D,New York
1938,RepBrianHiggins, Learn about Census2020 at one of our upcoming Lunchtime Learning sessions Find out about efforts to achieve a complet,0.0,"['learn', 'census2020', 'lunchtime learning', 'find']",D,New York
1939,RepBrianHiggins,The TrumpBudget ELIMINATES the Home Energy Assistance Program HEAP leaving Western New York seniors in the cold,-0.15454545454545454,"['trumpbudget eliminates', 'energy assistance program heap', 'york']",D,New York
1940,RepSteveChabot,It was great meeting Chris Evans today and discussing his new initiative Learn more about this new digital project called A Starting Point here,0.26212121212121214,"['great meeting', 'chris evans', 'new initiative', 'learn', 'new digital project']",R,Ohio
1941,RepSteveChabot,Last week after meeting with Vladimir Marinkovic the Deputy Speaker of Serbia s Parliament I decided to join the Serbian Caucus I look forward to continuing to work to strengthen U S Serbian relations,0.0,"['vladimir marinkovic', 'deputy speaker', 'serbia', 's parliament', 'serbian caucus', 'serbian']",R,Ohio
1942,RepSteveChabot,Thank you for being a strong advocate Your work has not gone unnoticed,0.11666666666666664,"['thank', 'strong advocate', 'your']",R,Ohio
1943,RepSteveChabot,Last week I met with Taiwan s VP Elect William Lai As a longtime supporter of Taiwan and the author of the TaiwanTravelAct I will keep fighting for high level visits between our countries a bilateral FTA and getting amp to put politics aside amp include Taiwan,0.32,"['taiwan', 'vp elect william lai', 'longtime supporter', 'taiwan', 'taiwantravelact', 'high level', 'fta', 'taiwan']",R,Ohio
1944,RepSteveChabot,Last week I met with Kelli Shrivastava and Amy Barron Kelli is learning how to be an advocate for those who struggle with Myalgic Encephalomyelitis Chronic Fatigue Syndrome She has a great mentor in Amy Barron who is a longtime advocate for the Arthritis Foundation,0.4,"['kelli shrivastava', 'amy barron kelli', 'myalgic encephalomyelitis chronic fatigue syndrome', 'great mentor', 'amy barron', 'longtime advocate', 'arthritis']",R,Ohio
1945,RepBradWenstrup,Thanks for inviting me to speak and for all you do for rural communities,0.1,"['thanks', 'rural communities']",R,Ohio
1946,RepBradWenstrup, One component of House GOP s new climate agenda which and others are partially rolling out today is an expan,0.018181818181818174,"['house gop s', 'new climate agenda']",R,Ohio
1947,RepBradWenstrup, Brady The whole premise of this hearing is false corporate tax revenues are growing Ways and Means Republicans h,-0.0666666666666667,"['brady', 'whole premise', 'false corporate tax revenues', 'ways', 'means']",R,Ohio
1948,RepBradWenstrup,According to NFIB small business owners remain optimistic about our economy We must protect these pro growth policies that have given us a strong economy and ensure continued success,0.1611111111111111,"['according', 'nfib', 'small business owners', 'pro growth policies', 'strong economy']",R,Ohio
1949,RepBradWenstrup,For the last two years tax cuts have helped Americans rebuild our economy and strengthen our nation Tax reform has increased savings for individuals and small businesses across America and it continues to pave the way for future prosperity,-0.08333333333333333,"['years tax cuts', 'nation tax reform', 'small businesses', 'america', 'future prosperity']",R,Ohio
1950,RepBeatty,Diverse leadership stronger business stronger profits and stronger workforce Banks MUST DoBetter,0.0,"['diverse', 'must dobetter']",D,Ohio
1951,RepBeatty,Ready to kickoff A Review on Diversity and Inclusion at America s Largest Banks DiversityMatters,0.2,"['ready', 'review', 'diversity', 'inclusion', 'america', 'largest', 'diversitymatters']",D,Ohio
1952,RepBeatty, TODAY The Subcommittee on Diversity and Inclusion chaired by is holding a hearing entitled A Review of Divers,0.0,"['today', 'subcommittee', 'diversity', 'inclusion', 'review', 'divers']",D,Ohio
1953,RepBeatty,Proud to be raised in a union family Proud of your hard work Proud to stand with you PROAct,0.5270833333333333,"['proud', 'union family', 'proud', 'hard work', 'proud', 'proact']",D,Ohio
1954,RepBeatty, Medicaid block grants would jeopardize health care access for countless families in Ohio and across the country Pro,0.0,"['medicaid', 'block grants', 'jeopardize health care access', 'countless families', 'ohio', 'pro']",D,Ohio
1955,Jim_Jordan,Americans are excited about the things President Trump is accomplishing for our country,0.375,"['things president', 'trump']",R,Ohio
1956,Jim_Jordan,,0.0,[],R,Ohio
1957,Jim_Jordan,All life is sacred All life should be protected,0.0,[],R,Ohio
1958,Jim_Jordan, If Democrats truly thought that Congress alone could make D C a state then why didn t they do so when their party co,0.0,"['congress', 'didn t', 'party co']",R,Ohio
1959,Jim_Jordan, The Founders crafted the Constitution so the seat of the federal government would specifically not be within any state,0.0,"['founders', 'federal government']",R,Ohio
1960,boblatta,I m happy I also had the opportunity to speak with Richard Payne the Ohio State NFB President Thank you for your work amp advocacy NFBinDC,0.8,"['richard payne', 'ohio', 'nfb', 'thank', 'work amp advocacy', 'nfbindc']",R,Ohio
1961,boblatta,Appreciated joining the voice for a reception after their President Mark Riccobono testified in our hearing this morning at on the promise that self driving cars present for increasing mobility amp independence for people with disabilities NFBinDC,0.1,"['appreciated', 'mark riccobono', 'mobility amp independence', 'nfbindc']",R,Ohio
1962,boblatta, voice Thank you Representative for being at our NFBinDC reception speaking to your delegation and sharing your own pe,0.6,"['thank', 'nfbindc', 'own pe']",R,Ohio
1963,boblatta,Self driving cars will make Americans safer amp give mobility amp independence to seniors amp individuals w disabilities These are just a few of the reasons why the SELFDRIVEAct passed out of the House in 2017 We must continue our work amp swiftly consider bipartisan AV legislation,-0.2,"['self', 'safer amp', 'mobility amp independence', 'seniors amp individuals w disabilities', 'selfdriveact', 'work amp', 'av']",R,Ohio
1964,boblatta,3 years ago as Chairman of this subcommittee I began the process to legislate on self driving cars We took 300 meetings before drafting a bill that found the right balance of encouraging innovation amp implementing federal guidance where appropriate,0.39285714285714285,"['right balance', 'innovation amp', 'federal guidance']",R,Ohio
1965,RepBillJohnson,Due to the pro growth agenda and economic policies the USA is thriving Socialism and the agenda of the DoNothingDemocrats would undo it all and devastate our economy Most Americans realize this,0.19166666666666665,"['pro growth agenda', 'economic policies', 'usa', 'socialism', 'donothingdemocrats']",R,Ohio
1966,RepBillJohnson,Great meeting today with a group from the Ohio National Guard Enlisted Associations I m proud to support those in our communities who volunteer to keep us safe and free Thank you,0.625,"['great meeting', 'ohio', 'national guard', 'enlisted', 'thank']",R,Ohio
1967,RepBillJohnson,Today I was able to join my colleagues to talk about what we have accomplished and what our caucus is looking to work on moving forward This bipartisan group agrees that we were sent to Congress to work TOGETHER to serve the American people,0.2333333333333333,"['bipartisan group agrees', 'congress', 'together', 'american people']",R,Ohio
1968,RepBillJohnson,How can you complain about TrumpsBudget when you refuse to let Congress pass one,0.0,"['trumpsbudget', 'congress']",R,Ohio
1969,RepBillJohnson, stevewomack House Democrats will not produce a budget They are punting one of our most basic responsibilities in Congress That s,0.25,"['stevewomack house', 'basic responsibilities', 'congress']",R,Ohio
1970,RepBobGibbs,While we have worked to make America a stronger and safer nation there is still a lot of work to do As the President said our nation s best days are ahead of us We must embrace the principles that made America great to address the challenges of the future SOTU,0.6,"['america', 'safer nation', 'nation s', 'america', 'sotu']",R,Ohio
1971,RepBobGibbs,After three years in office President Trump can point to the facts 50 year lows in unemployment increased wages new trade deals fair for American workers investing in our military a decrease in overdose deaths for the first time in nearly 3 decades and more SOTU,0.22662337662337664,"['office president', 'trump', 'year lows', 'new trade deals', 'american workers', 'overdose deaths', 'sotu']",R,Ohio
1972,RepBobGibbs,Tonight President Trump highlighted the very best of our nation strong families a strong military and a strong economy that lifts up ALL Americans at every rung of the economic ladder SOTU,0.39999999999999997,"['trump', 'strong families', 'strong economy', 'all', 'economic ladder', 'sotu']",R,Ohio
1973,RepBobGibbs, Congratulations to Tuskegee Airman Charles McGee s promotion to Brigadier General,0.05000000000000002,"['congratulations', 'tuskegee airman charles mcgee', 's promotion', 'brigadier']",R,Ohio
1974,RepBobGibbs,Ohio s finest Thank you for your service General McGee SOTU,0.05000000000000002,"['ohio', 'thank', 'mcgee sotu']",R,Ohio
1975,WarrenDavidson,FISA is up for reauthorization on March 15 SAPRA will protect Americans privacy and reassert the 4th Amendment,0.0,"['fisa', 'march', 'sapra', 'amendment']",R,Ohio
1976,WarrenDavidson, Madam Speaker can you point me to the budget you ve proposed this year so we can compare I ll wait,0.0,['madam'],R,Ohio
1977,WarrenDavidson,GoodNews It s great to see two former chairmen trusted to lead Judiciary amp Oversight for the DeedsNotWords Jordan,0.4,"['goodnews', 'judiciary', 'oversight', 'deedsnotwords jordan']",R,Ohio
1978,WarrenDavidson, Clark State Board Chair Brad Phillips Trustee Andy Bell and I met with Congressman Davidson to discuss short term Pe,0.0,"['clark', 'state board', 'chair brad phillips', 'andy bell', 'davidson', 'short term', 'pe']",R,Ohio
1979,WarrenDavidson, Federal Reserve Chair Powell Testifies on Monetary Policy before LIVE on C SPAN3 amp online,0.13636363636363635,"['federal reserve', 'chair powell', 'monetary policy', 'live', 'span3', 'amp online']",R,Ohio
1980,RepMarcyKaptur,All of this while proposing a full repeal of the Affordable Care Act billions more for the ill conceived border wall and a 10 year extension of his disastrous Tax Cuts and Jobs Act his unprecedented bailout for corporations and the wealthy,0.125,"['full repeal', 'care', 'act billions', 'border wall', 'disastrous tax', 'cuts', 'jobs', 'unprecedented bailout']",D,Ohio
1981,RepMarcyKaptur,The President s budget request calls for massive cuts to vital domestic programs over 10 years including 24 billion from Social Security 478 billion from Medicare 920 billion from Medicaid almost a trillion dollars,0.03333333333333333,"['president s budget request calls', 'massive cuts', 'vital domestic programs', 'social security', 'medicare', 'medicaid', 'trillion dollars']",D,Ohio
1982,RepMarcyKaptur,Budgets are more than just fiscal documents they are a reflection of our values But President Trump s budget was not written with working people in mind instead it s a laundry list of corporate handouts that literally leave working people in the cold,-0.033333333333333326,"['budgets', 'fiscal documents', 'trump', 's budget', 'laundry list', 'corporate handouts']",D,Ohio
1983,RepMarcyKaptur, The president misled the public and then compounded the problem by minimizing the seriousness of traumatic head injuries,0.0,['traumatic head injuries'],D,Ohio
1984,RepMarcyKaptur, Energy amp Water Development Subcommittee Chair on Puerto Rico earthquake supplemental Thi,0.0,"['energy', 'amp water development', 'subcommittee chair', 'puerto rico', 'earthquake supplemental', 'thi']",D,Ohio
1985,RepMikeTurner,s proposed budget is a strong step forward in keeping our country safe amp includes 23 5M for Read more here,0.4777777777777778,"['strong step', 'safe amp', 'read']",R,Ohio
1986,RepMikeTurner, Minority representation continues to lag in STEM one of the fastest growing sectors in today s economy Proud to join,0.8,"['minority', 'stem', 's economy', 'proud']",R,Ohio
1987,RepMikeTurner,I am proud to be the lead Republican on this bill with to make pursuing an education amp career in the STEM field more accessible amp affordable for minority students including those at amp u in OH10 Read more,0.54375,"['republican', 'education amp career', 'stem', 'accessible amp', 'minority students', 'amp u', 'oh10 read']",R,Ohio
1988,RepMikeTurner,Last week amp I led 40 of our bipartisan House colleagues in encouraging to consider all avenues within the powers of to reverse course on the UK s announced decision to permit Huawei to build elements of the UK s 5G network Read more,0.25,"['week amp', 'bipartisan house colleagues', 'reverse course', 'uk', 'huawei', 'uk', 's 5g network', 'read']",R,Ohio
1989,RepMikeTurner, NEW resolution from LR amp denounces the UK s dec,0.13636363636363635,"['new', 'lr', 'amp denounces', 'uk', 's dec']",R,Ohio
1990,RepMarciaFudge,Medicaid block grants would jeopardize health care access for countless families in Ohio and across the country Proud to join amp in urging Ohio Gov DeWine to reject the Administration s proposal to weaken this critical program,0.26666666666666666,"['medicaid', 'block grants', 'jeopardize health care access', 'countless families', 'ohio', 'proud', 'ohio gov dewine', 'administration s proposal', 'critical program']",D,Ohio
1991,RepMarciaFudge,Women s contributions and achievements are too often forgotten Today the House passed the Smithsonian Women s History Museum Act to preserve the rich HERstory of how women have helped shape the nation InspiredByHer,0.375,"['s contributions', 'smithsonian', 'history', 'museum act', 'herstory', 'inspiredbyher']",D,Ohio
1992,RepMarciaFudge,The President s budget is filled with broken promises and deep cuts to critical programs 182 billion from SNAP 1 6 trillion from health care programs 24 billion from Social Security 500 billion from Medicare will continue fighting for all Americans,0.006666666666666666,"['president s budget', 'deep cuts', 'critical programs', 'snap', 'health care programs', 'social security', 'medicare']",D,Ohio
1993,RepMarciaFudge,Today the Dems Subcommittee on Elections heard troubling testimony on the barriers that prevent Native American communities from voting It is time for us to do right by the residents of Tribal Nations and guarantee the right to vote that each member is owed,0.19047619047619047,"['dems subcommittee', 'elections', 'native', 'american communities', 'tribal']",D,Ohio
1994,RepMarciaFudge,Happening NOW I m chairing a Dems Subcommittee on Elections hearing to explore the barriers that exist across the country preventing Native American communities from exercising their right to vote RestoreTheVote To watch,0.14285714285714285,"['happening now', 'dems subcommittee', 'elections', 'native', 'american communities', 'restorethevote']",D,Ohio
1995,RepBalderson,I believe in the value of education and career preparation especially when it s accessible In Delaware our very own University was just named Best Value College by Princeton Review They re leading the way in cost effective learning,0.551,"['career preparation', 's accessible', 'delaware', 'own university', 'value', 'princeton review', 'effective learning']",R,Ohio
1996,RepBalderson, Institutions that take advantage of both personal and geographical links between R amp D and entrepreneurship are able to effecti,0.25,"['institutions', 'geographical links']",R,Ohio
1997,RepBalderson,We will never forget the lives and legacies of these brave men who served honorably in the line of duty and were taken too soon Our community and country thank them for their service and we pray for their memories and the families they left behind westervillestrong,0.13333333333333333,['brave men'],R,Ohio
1998,RepBalderson,I applaud this initiative by to launch a flight training academy to train aspiring pilots and fill an important workforce gap This is the type of forward thinking we need,0.4,"['flight training academy', 'important workforce gap']",R,Ohio
1999,RepBalderson,2020 is off to a STRONG economic start January JobsReport SHATTERED expectations with 225 000 jobs added The U S labor market is positioned to fuel economic growth in 2020 READ MORE HERE,0.3333333333333333,"['strong', 'economic start', 'january jobsreport shattered', 's labor market', 'economic growth', 'read more here']",R,Ohio
2000,RepTimRyan,Let every American every lover of liberty every well wisher to his posterity swear by the blood of the Revolution never to violate in the least particular the laws of the country and never to tolerate their violation by others Happy birthday to the great Abraham Lincoln,0.29333333333333333,"['posterity swear', 'revolution', 'happy', 'abraham lincoln']",D,Ohio
2001,RepTimRyan,Electric Vehicles will help achieve our climate goals amp they ll offer good paying jobs to our workers I m using my position on to make sure there are loans available for companies like The economy of the future starts now,0.4,"['vehicles', 'climate goals amp']",D,Ohio
2002,RepTimRyan,Congrats HairLove director former on his Oscar win This inspiring film breaks down gender amp racial stereotypes and shows the power of representation It s a reminder we must always strive for inclusion amp diversity in our society,0.2861111111111111,"['congrats hairlove', 'oscar', 'gender amp', 'racial stereotypes', 'inclusion amp diversity']",D,Ohio
2003,RepTimRyan,I will use my position on to fight for this funding It costs us nothing these loans are repaid in full with interest and it puts Ohioans back to work,0.175,['ohioans'],D,Ohio
2004,RepTimRyan,When the President releases a budget that cuts funding for the Department of Health and Human Services Which funds the CDC in the middle of the CoronovirusOutbreak,0.0,"['president releases', 'cdc', 'coronovirusoutbreak']",D,Ohio
2005,RepDaveJoyce,Today opioid related overdoses will kill 130 pple 96 babies will be born suffering opioid withdrawal 20 million pple will keep battling addiction I won t stop fighting until our communities have what they need to stop the opioidcrisis destruction,0.0,"['opioid withdrawal', 'opioidcrisis destruction']",R,Ohio
2006,RepDaveJoyce,Fantastic news The is an economic driver for our communities supporting 20 000 jobs and generating 3 5 billion in economic activity every year This grant will ensure the port can continue to be the heart of Northeast Ohio s global competitiveness,0.21000000000000002,"['fantastic', 'economic driver', 'economic activity', 'ohio', 'global competitiveness']",R,Ohio
2007,RepDaveJoyce,VA medical facilities must be efficient the care they deliver needs to be high quality vets should be able to easily access understand the info they need to make health care decisions Our bill will help that become a reality Find out more,0.31866666666666665,"['va', 'medical facilities', 'high quality vets', 'health care decisions', 'find']",R,Ohio
2008,RepDaveJoyce,Our veterans have provided an invaluable service by defending America amp our freedoms We must provide them w the care they deserve That s why I introduced the bipartisan VA Quality Healthcare amp Accountability Act w,0.0,"['invaluable service', 'america', 'va quality healthcare', 'accountability', 'act w']",R,Ohio
2009,RepDaveJoyce,The GreatLakes sustain more than 1 5 million jobs provide 90 of our fresh surface water support 3 500 plant animal species amp generate 62 billion in wages annually We must treat them like the invaluable natural resource and economic powerhouse they are,0.275,"['greatlakes', 'fresh surface water support', 'plant animal species amp generate', 'invaluable natural resource', 'economic powerhouse']",R,Ohio
2010,RepSteveStivers,This InventorsDay we celebrate all those who ve contributed and who are creating great ideas that drive America forward Glad to be working with on the STRONGER Patents Act to protect these ideas and the inventions yet to come,0.65,"['inventorsday', 'great ideas', 'america', 'glad', 'stronger patents']",R,Ohio
2011,RepSteveStivers,I have so many great memories from my days as a Scout Boy Scouts has helped shape young leaders and promote stewardship for 110 years Here s to many more,0.4800000000000001,"['great memories', 'scout', 'scouts', 'young leaders']",R,Ohio
2012,RepSteveStivers,Great January jobs report I will continue fighting for policies that support more jobs and economic growth,0.5,"['january', 'economic growth']",R,Ohio
